"PWY","effect","group","term","estimate","std.error","statistic","df","p.value","padj"
"PWY_001","fixed",NA,"(Intercept)",-6.86260484768651,0.0360513191120711,-190.356553288745,60.2960189590267,1.6288056593468e-85,2.20006793407423e-84
"PWY_001","fixed",NA,"hd_exposurehigh_exposure",-0.00792817359736904,0.0502403805425719,-0.157804807840797,62.1867016922875,0.875121904849733,0.972141584521445
"PWY_003","fixed",NA,"(Intercept)",-3.36008921949686,0.0168120813401609,-199.861584744432,66.7242390130633,2.05066857811897e-94,6.59042453381682e-93
"PWY_003","fixed",NA,"hd_exposurehigh_exposure",0.00151313261280722,0.023497886429267,0.0643944134023299,64.7948844414615,0.948854434648338,0.988252611493919
"PWY_004","fixed",NA,"(Intercept)",-6.06533556743617,0.119434359972152,-50.7838411730963,70.1799872356988,4.46287038144533e-57,1.46457577306586e-56
"PWY_004","fixed",NA,"hd_exposurehigh_exposure",-0.00847387404774323,0.166766270814687,-0.05081287724638,68.2849680755731,0.959622975753215,0.988252611493919
"PWY_005","fixed",NA,"(Intercept)",-6.56408181154697,0.119006385159479,-55.1573917882686,69.6783571595144,3.16898052098449e-59,1.12299994127663e-58
"PWY_005","fixed",NA,"hd_exposurehigh_exposure",0.202056282888589,0.166243021975213,1.21542715289858,67.7463188729178,0.228421945700831,0.404732420899572
"PWY_007","fixed",NA,"(Intercept)",-6.26358882113432,0.124260864493826,-50.4067700369614,66.7749504800415,7.12783205762813e-55,2.11564951519408e-54
"PWY_007","fixed",NA,"hd_exposurehigh_exposure",0.199578046853372,0.173583588964539,1.14975181723051,64.8711770452919,0.254467250726025,0.44246917476988
"PWY_008","fixed",NA,"(Intercept)",-3.7319918095484,0.0417423982539551,-89.4053040949747,65.6134640962584,2.82443599941981e-70,1.67667156143902e-69
"PWY_008","fixed",NA,"hd_exposurehigh_exposure",-0.00800551953594104,0.0586328922714707,-0.136536323312782,64.1107537566482,0.891825166057764,0.972141584521445
"PWY_009","fixed",NA,"(Intercept)",-3.28961548659413,0.0125898544063607,-261.290987204119,70.5746079444502,4.04272077089053e-107,7.53563151693995e-105
"PWY_009","fixed",NA,"hd_exposurehigh_exposure",-0.0315498609013325,0.0175312447011076,-1.79963610338171,70.8377941384739,0.0761765338305584,0.146384596969238
"PWY_010","fixed",NA,"(Intercept)",-4.22511636990748,0.069171047788062,-61.082150769974,70.4724042615393,8.98442226453974e-63,3.82350755732924e-62
"PWY_010","fixed",NA,"hd_exposurehigh_exposure",0.010088701227892,0.0969429341106573,0.104068453471566,68.6280486575323,0.917418562706331,0.98222115142544
"PWY_011","fixed",NA,"(Intercept)",-6.06568324421416,0.140408160354816,-43.2003612103882,71.7148052647618,4.38571937956865e-53,1.20931670466213e-52
"PWY_011","fixed",NA,"hd_exposurehigh_exposure",0.103993500150175,0.196420394963011,0.529443493735763,69.7378733744603,0.598179250046734,0.852451163675162
"PWY_012","fixed",NA,"(Intercept)",-3.79410920941142,0.0867602962262669,-43.7309388561394,68.3219087737674,1.09192587013631e-51,2.81125666012994e-51
"PWY_012","fixed",NA,"hd_exposurehigh_exposure",-0.0581987134988427,0.122280343599212,-0.475944962091337,67.4664517941,0.635651204585817,0.872474499277173
"PWY_013","fixed",NA,"(Intercept)",-3.50662661889909,0.0262907472697123,-133.378735222898,70.2120018297816,3.40016231778462e-86,4.8753096618081e-85
"PWY_013","fixed",NA,"hd_exposurehigh_exposure",-0.042216519799603,0.0366283461671597,-1.1525641809472,69.0776866666667,0.253062303034821,0.441636392281166
"PWY_014","fixed",NA,"(Intercept)",-3.53398030318968,0.0290377057463521,-121.703151552655,70.3066889830673,1.67125868795018e-83,1.85430130615425e-82
"PWY_014","fixed",NA,"hd_exposurehigh_exposure",-0.0451550335861825,0.0404540090904731,-1.11620664061245,69.202317779121,0.268194520586431,0.462883876271396
"PWY_015","fixed",NA,"(Intercept)",-3.30099015491401,0.0148520060837318,-222.258874410896,64.3715820483476,1.3218947467374e-94,4.40002108556877e-93
"PWY_015","fixed",NA,"hd_exposurehigh_exposure",-0.0106427363214951,0.0207097421146301,-0.513899992698444,62.8170030366369,0.609124993239345,0.854976647137152
"PWY_016","fixed",NA,"(Intercept)",-3.48031269945498,0.0280333703517582,-124.148921652466,69.3878470692426,3.16340234040718e-83,3.46857762501116e-82
"PWY_016","fixed",NA,"hd_exposurehigh_exposure",0.0418240729803014,0.0392758765816367,1.06487942779248,67.5213194934354,0.290723761715511,0.498995480513547
"PWY_017","fixed",NA,"(Intercept)",-5.60164936632804,0.160547252904073,-34.8909698858257,70.4769350051603,3.33909311518814e-46,6.94650621284676e-46
"PWY_017","fixed",NA,"hd_exposurehigh_exposure",-0.0320152658032165,0.225191123579558,-0.142169306206715,68.7274819967015,0.887362225522563,0.972141584521445
"PWY_018","fixed",NA,"(Intercept)",-4.07615496778259,0.0725616710502674,-56.1750426745108,66.3246390828758,1.16791796904697e-57,3.91546599694883e-57
"PWY_018","fixed",NA,"hd_exposurehigh_exposure",0.0474863442874348,0.101793481618694,0.466496906602653,64.6302279957542,0.642428508894356,0.876637438198447
"PWY_019","fixed",NA,"(Intercept)",-3.25167505489311,0.0184913646196397,-175.848301181596,66.1141517222653,4.9904953165689e-90,9.49212578580043e-89
"PWY_019","fixed",NA,"hd_exposurehigh_exposure",0.0200434648787158,0.0258114770303465,0.776533045945056,64.2987611118583,0.440281614738056,0.705055781676749
"PWY_020","fixed",NA,"(Intercept)",-3.33612162866193,0.0139622814582063,-238.938144790166,48.0997338646082,1.28943556493934e-75,9.38870270721454e-75
"PWY_020","fixed",NA,"hd_exposurehigh_exposure",-0.0354079184892615,0.0194421373605498,-1.82119474997168,47.9590460057434,0.07481831151459,0.144389943600478
"PWY_021","fixed",NA,"(Intercept)",-6.54914315475926,0.153221086026038,-42.7430931643854,70.7511421824062,2.81563446469886e-52,7.45503216221402e-52
"PWY_021","fixed",NA,"hd_exposurehigh_exposure",0.098124653557894,0.214564191797392,0.457320733417396,68.8331055780823,0.64888069703098,0.881249282688751
"PWY_022","fixed",NA,"(Intercept)",-6.19480156085065,0.0968328759174575,-63.9741565264594,71.9311606517175,3.80722626858927e-65,1.7741674411626e-64
"PWY_022","fixed",NA,"hd_exposurehigh_exposure",0.0725698478774511,0.135145422818925,0.536975994922771,70.0883703029024,0.592984800422405,0.849598998479062
"PWY_023","fixed",NA,"(Intercept)",-4.83460191228394,0.0714871709024623,-67.6289444840433,65.2392347949765,3.86806655596511e-62,1.58812248024647e-61
"PWY_023","fixed",NA,"hd_exposurehigh_exposure",-0.00520556371320758,0.0996851485081574,-0.0522200527471913,63.6663590802945,0.958516858111165,0.988252611493919
"PWY_024","fixed",NA,"(Intercept)",-6.81700636069607,0.0276457220217279,-246.584493446701,45.9124699959565,2.46522393509789e-73,1.68940346140532e-72
"PWY_024","fixed",NA,"hd_exposurehigh_exposure",0.0579216951949907,0.0385734394830137,1.50159529384195,48.7581834571621,0.139650579638571,0.260830341128553
"PWY_025","fixed",NA,"(Intercept)",-3.93004802244294,0.0739118012385661,-53.1721316026093,67.1290446686219,1.33539159565584e-56,4.24773026331482e-56
"PWY_025","fixed",NA,"hd_exposurehigh_exposure",-0.00450712495198446,0.104066702156907,-0.0433099623469266,66.0591440038844,0.96558509775831,0.988928913308511
"PWY_026","fixed",NA,"(Intercept)",-3.36066540013787,0.0205128818266764,-163.831948554758,68.2583094656484,2.4730611659183e-90,4.90402767369332e-89
"PWY_026","fixed",NA,"hd_exposurehigh_exposure",-0.015687086233153,0.0286675400595241,-0.547207266496566,66.3163408859578,0.586073187816229,0.848168029572555
"PWY_027","fixed",NA,"(Intercept)",-3.36385517001183,0.0175052848449566,-192.162264127966,65.5029697484883,7.33699082559523e-92,1.62811320225113e-90
"PWY_027","fixed",NA,"hd_exposurehigh_exposure",0.00355872354204792,0.0244188439571974,0.145736773955632,63.8243971110354,0.884588491003718,0.972141584521445
"PWY_028","fixed",NA,"(Intercept)",-3.96674849082112,0.046712339472664,-84.9186432450564,67.4498400595002,2.6468639013127e-70,1.58133151027144e-69
"PWY_028","fixed",NA,"hd_exposurehigh_exposure",-0.0286768151803164,0.0654091386073333,-0.438422150037323,65.5570637815962,0.662521684188504,0.884627807541097
"PWY_029","fixed",NA,"(Intercept)",-3.83712073741581,0.0296424441335601,-129.446840487474,68.5079759121354,1.28526526408946e-83,1.46081369040411e-82
"PWY_029","fixed",NA,"hd_exposurehigh_exposure",-0.0157583969255908,0.0415650766228066,-0.379125896208363,66.7368773351195,0.705797980156336,0.911085481309841
"PWY_030","fixed",NA,"(Intercept)",-3.31982130123469,0.0146537437096135,-226.551068929692,68.4864868156295,3.33437669574494e-100,2.58969923369524e-98
"PWY_030","fixed",NA,"hd_exposurehigh_exposure",-0.00977154096744726,0.02041820228381,-0.478570093077946,67.2637296166092,0.633796458635182,0.871236429864292
