"CARD","effect","group","term","estimate","std.error","statistic","df","p.value","padj"
"CARD_004","fixed",NA,"(Intercept)",-4.62927505769136,0.0487262833822758,-95.005708138521,102.999999999182,3.94456187076274e-102,3.07675825919494e-100
"CARD_004","fixed",NA,"carrierper",0.128726086425575,0.10645022795275,1.209260786954,102.999999999733,0.229331090311363,0.295666529657626
"CARD_006","fixed",NA,"(Intercept)",-4.03300842276583,0.160671974291831,-25.1008829669362,38.4525874762074,1.88275446438514e-25,5.5416923857374e-25
"CARD_006","fixed",NA,"carrierper",-0.521077141842845,0.337418815658969,-1.54430374851858,39.7333294604038,0.130442970298059,0.186689021710983
"CARD_013","fixed",NA,"(Intercept)",-3.61240197200547,0.0356076969637203,-101.450031314467,13.40991260645,9.59992242315621e-21,2.13941128287481e-20
"CARD_013","fixed",NA,"carrierper",-0.00948735288200062,0.0777113252876789,-0.122084559063682,17.3154636049739,0.90423775935776,0.92196791150203
"CARD_014","fixed",NA,"(Intercept)",-4.72708547902535,0.216495161627997,-21.8346010297814,38.9101526448777,1.93130681559037e-23,4.78228354336664e-23
"CARD_014","fixed",NA,"carrierper",-0.278276709843886,0.455261661257532,-0.611245649535314,40.3915712833663,0.544461900810503,0.602383379620131
"CARD_015","fixed",NA,"(Intercept)",-3.78979183809874,0.0739128354433612,-51.2737985948709,34.1742237509848,6.46920152961059e-34,6.11633599163183e-33
"CARD_015","fixed",NA,"carrierper",-0.0614457922643878,0.155174581439849,-0.395978463059082,35.3500273878895,0.694500904203124,0.74206945928553
"CARD_016","fixed",NA,"(Intercept)",-1.51768291209401,0.0973805083300079,-15.5850789662219,34.7828795980595,2.92008384217173e-17,6.03355072024887e-17
"CARD_016","fixed",NA,"carrierper",-0.666309908528773,0.205944374061209,-3.23538776704208,36.9975611169228,0.00256072846609356,0.00490151706393368
"CARD_038","fixed",NA,"(Intercept)",-3.45597688065932,0.194535976239948,-17.7652326703652,36.1957752749913,1.85246154205492e-19,4.01366667445233e-19
"CARD_038","fixed",NA,"carrierper",-0.100713255181003,0.406639745800394,-0.247671941125105,36.7906638476464,0.805765324939942,0.84079859993733
"CARD_057","fixed",NA,"(Intercept)",-1.77054471035475,0.207757430764058,-8.52217272731626,37.0525697369186,2.93088871271466e-10,5.89959534430305e-10
"CARD_057","fixed",NA,"carrierper",-0.591781219954848,0.433953933868786,-1.36369594504882,37.5471725959823,0.180783781353284,0.242079569880792
"CARD_082","fixed",NA,"(Intercept)",-3.60519128832495,0.0813411334267422,-44.3218718063706,33.7751863187232,1.63078458636454e-31,1.13067731321275e-30
"CARD_082","fixed",NA,"carrierper",-0.0137690310733709,0.173693764314276,-0.0792718790322123,37.3883995806743,0.937239148555252,0.943285852739479
"CARD_085","fixed",NA,"(Intercept)",-3.66667182683068,0.183241399028359,-20.0100623891395,36.2346502445025,3.56781981241134e-21,8.06637522806042e-21
"CARD_085","fixed",NA,"carrierper",-0.275467310239436,0.385183179075198,-0.715159241638787,37.619030479588,0.478925855913162,0.53943995323071
"CARD_086","fixed",NA,"(Intercept)",-4.24791474326822,0.0422278458106354,-100.595108789526,38.2051995893222,6.18522764179079e-48,1.75435547658066e-46
"CARD_086","fixed",NA,"carrierper",0.0309825262954455,0.0897771431893684,0.3451048362064,41.3113449321974,0.731766554824059,0.773936152898665
"CARD_098","fixed",NA,"(Intercept)",-3.59532282154628,0.154429914331353,-23.2812589265054,37.257827005771,8.4650957216365e-24,2.18273542574429e-23
"CARD_098","fixed",NA,"carrierper",0.206379264882089,0.326749868667788,0.631612388165695,39.60911573943,0.531268783380167,0.591985215766472
"CARD_103","fixed",NA,"(Intercept)",-5.11306625167618,0.0602636794503008,-84.8449065559115,103.000000000024,3.91203853818984e-97,2.03426003985872e-95
"CARD_103","fixed",NA,"carrierper",-0.11663786012314,0.131655483846927,-0.885932410219637,102.999999999118,0.377717670938935,0.454655528506055
"CARD_105","fixed",NA,"(Intercept)",-3.34817620193915,0.156534179424406,-21.3894257104153,35.4622710874194,7.44167908912016e-22,1.70720873220992e-21
"CARD_105","fixed",NA,"carrierper",-0.396331191959134,0.326763120800723,-1.21290062044926,35.8617589421619,0.233097184060516,0.29928527336165
"CARD_122","fixed",NA,"(Intercept)",-3.12992908078152,0.121620351544766,-25.7352411913515,35.2055700713338,2.02515838522444e-24,5.59158775389403e-24
"CARD_122","fixed",NA,"carrierper",0.431366221388416,0.25755820707688,1.67483003661248,37.6305360421769,0.102259901742555,0.156397496782732
"CARD_123","fixed",NA,"(Intercept)",-3.28802488607261,0.0873452361667873,-37.6440093400637,35.0747332618932,5.9315187876373e-30,2.98489332539167e-29
"CARD_123","fixed",NA,"carrierper",0.315134149199441,0.185301727600676,1.70065413463685,37.7569553902126,0.0972318473257079,0.151107269371248
"CARD_124","fixed",NA,"(Intercept)",-2.82640853699251,0.0584801433259022,-48.3310808805871,31.1941350063042,6.75208464989611e-31,3.90120446438442e-30
"CARD_124","fixed",NA,"carrierper",0.256277212194998,0.123825458141338,2.06966496261597,33.4576989847467,0.0462765580167852,0.0811009968602173
"CARD_125","fixed",NA,"(Intercept)",-3.13376026666258,0.0972114814619981,-32.2365241176541,35.9556760765757,3.96378318217533e-28,1.62723730636672e-27
"CARD_125","fixed",NA,"carrierper",0.460658036533694,0.204599793165458,2.25150783100335,37.512108267022,0.0302942311244838,0.0552736848587073
"CARD_126","fixed",NA,"(Intercept)",-2.68974851729823,0.0698849917800991,-38.4882139753529,36.1218577127165,6.39473909640947e-31,3.76445018505614e-30
"CARD_126","fixed",NA,"carrierper",0.28674566789167,0.148534937291631,1.9304930753677,39.1181518743763,0.0608177963222442,0.102568391635352
"CARD_127","fixed",NA,"(Intercept)",-2.74312924711043,0.071208908459214,-38.5222763059428,36.5757337311264,3.29527001337161e-31,2.14192550869154e-30
"CARD_127","fixed",NA,"carrierper",0.262900245310191,0.150683601944914,1.74471702240234,38.9256537709149,0.0889259269967435,0.140837001131898
"CARD_128","fixed",NA,"(Intercept)",-3.33317229194537,0.0952731138726633,-34.9854450690076,27.5814576290449,2.15395321580606e-24,5.89502985378502e-24
"CARD_128","fixed",NA,"carrierper",0.528285582379669,0.205156236734257,2.57504032433568,32.0272650252036,0.0148459018467267,0.0277360561447829
"CARD_129","fixed",NA,"(Intercept)",-3.07626931571444,0.130795617311321,-23.5196666291369,36.1487303376365,1.6674508356805e-23,4.16195728585854e-23
"CARD_129","fixed",NA,"carrierper",0.1536281374324,0.276332827435155,0.555953264251425,38.2542095238136,0.581480220369164,0.636567820193611
"CARD_130","fixed",NA,"(Intercept)",-3.4085093182655,0.133031822909779,-25.6217590927632,35.2045123541913,2.35054235473819e-24,6.37712360589839e-24
"CARD_130","fixed",NA,"carrierper",0.207909475828629,0.282781224234232,0.735230835751719,38.185608253682,0.466690834823552,0.533360954084059
"CARD_131","fixed",NA,"(Intercept)",-3.19466209144711,0.106167329000468,-30.0908209853619,36.3964247051966,2.59314063448523e-27,9.63166521380228e-27
"CARD_131","fixed",NA,"carrierper",0.405231914742089,0.224639099766941,1.80392422851814,38.7289229886084,0.079025473962469,0.127092514826239
"CARD_132","fixed",NA,"(Intercept)",-2.99468085593517,0.0960233901991527,-31.1869936035814,34.4414838781731,7.80111330733458e-27,2.73477230549257e-26
"CARD_132","fixed",NA,"carrierper",0.408398950564371,0.203063481524982,2.0111885578704,36.6384774006421,0.0517063784249147,0.0881551369867399
"CARD_133","fixed",NA,"(Intercept)",-2.64317676010145,0.0768830972630913,-34.3791659570711,37.33233051074,7.22128636161544e-30,3.46621745357541e-29
"CARD_133","fixed",NA,"carrierper",0.309681615571501,0.162392625058146,1.90699310058333,39.4309221194098,0.0638259476562741,0.106490351169826
"CARD_134","fixed",NA,"(Intercept)",-3.24413293294027,0.128341116193319,-25.2774249528394,35.5340861226363,2.64612936170238e-24,7.11717552457881e-24
"CARD_134","fixed",NA,"carrierper",0.378646642768704,0.270855300751972,1.39796652204137,37.4691822505469,0.170344637205757,0.233103187755246
"CARD_135","fixed",NA,"(Intercept)",-2.70752081696077,0.0742041700887277,-36.4874482623189,37.9653011415257,3.6064504946722e-31,2.25042510867545e-30
"CARD_135","fixed",NA,"carrierper",0.258499125820103,0.15665836815963,1.6500818236323,40.0064293254968,0.106756935560807,0.160194544668871
"CARD_136","fixed",NA,"(Intercept)",-2.99641454494631,0.105985115151415,-28.27203179112,35.8648715679547,4.12133757494366e-26,1.32562610657982e-25
"CARD_136","fixed",NA,"carrierper",0.458684320236708,0.224353064319952,2.04447539696884,38.2479071798546,0.0478341770430202,0.082912573541235
"CARD_137","fixed",NA,"(Intercept)",-3.13168681127635,0.103448922071879,-30.2727834041651,36.1306772305102,2.86224540752734e-27,1.05061243193945e-26
"CARD_137","fixed",NA,"carrierper",0.534052328222218,0.219098230733662,2.43750178371553,38.5980034698886,0.019501589331931,0.036217237330729
"CARD_138","fixed",NA,"(Intercept)",-3.18476888996926,0.128054891774876,-24.8703415061111,34.0323239916812,2.07291758288337e-23,5.09252193590244e-23
