"PWY","effect","group","term","estimate","std.error","statistic","df","p.value","padj"
"PWY_001","fixed",NA,"(Intercept)",-6.852993624114,0.0250265674925911,-273.828747236023,133.685012720923,1.10927456892914e-185,2.79417269795124e-184
"PWY_001","fixed",NA,"st131_detectyes",0.00907463153331045,0.0592814353485818,0.153077122373143,252.999831928561,0.878459474354548,0.936755412011944
"PWY_003","fixed",NA,"(Intercept)",-3.35615632118011,0.00942948991607333,-355.921301263526,120.570055274328,4.85740267708224e-184,1.05281378954434e-182
"PWY_003","fixed",NA,"st131_detectyes",-0.00265796640997222,0.019345746164004,-0.137392809118824,232.767731570378,0.890839084524634,0.940179482425175
"PWY_004","fixed",NA,"(Intercept)",-6.04339224779575,0.0708702082667424,-85.2740861865333,131.006627626016,1.19735224716635e-116,3.71977431453013e-116
"PWY_004","fixed",NA,"st131_detectyes",-0.0452479117170475,0.144714951501171,-0.31266922489817,234.792309758507,0.754809509156555,0.87357082539552
"PWY_005","fixed",NA,"(Intercept)",-6.50957864690462,0.0644055138409326,-101.071760144354,130.226970598875,1.33945779051504e-125,5.3122325989788e-125
"PWY_005","fixed",NA,"st131_detectyes",0.306048007042908,0.139772705414846,2.18961210012038,245.008633595826,0.0294959594237515,0.0573908855593661
"PWY_007","fixed",NA,"(Intercept)",-6.1193040419613,0.0721184357564843,-84.850759417797,125.774958283154,6.97537745211753e-113,2.00032362626878e-112
"PWY_007","fixed",NA,"st131_detectyes",-0.0509222573350583,0.147901845551459,-0.344297646491106,234.173709131832,0.730931434624038,0.860136486198994
"PWY_008","fixed",NA,"(Intercept)",-3.70923992797123,0.0236216651504049,-157.027030243363,116.233028190893,3.43277160640591e-137,1.93899584070928e-136
"PWY_008","fixed",NA,"st131_detectyes",-0.025729730686228,0.037735278354908,-0.68184817518065,185.510250244698,0.496185353306517,0.687139300567124
"PWY_009","fixed",NA,"(Intercept)",-3.30303280040531,0.00761094808960271,-433.98440792384,138.403346923072,8.79717726711776e-219,2.73298973765125e-216
"PWY_009","fixed",NA,"st131_detectyes",-0.00470121184062716,0.018366413942314,-0.255967869143804,252.524195407444,0.798184034257586,0.898439033729553
"PWY_010","fixed",NA,"(Intercept)",-4.16938224235255,0.0367157024999577,-113.558558285991,130.180497059009,4.4547013950908e-132,2.17370769645268e-131
"PWY_010","fixed",NA,"st131_detectyes",0.005521530006196,0.0696546006533498,0.0792701408723167,221.321832239189,0.936889382160368,0.956386532501055
"PWY_011","fixed",NA,"(Intercept)",-5.8863261580012,0.0832863664933626,-70.6757468939446,132.705636924875,3.47361292991368e-107,8.5645694462422e-107
"PWY_011","fixed",NA,"st131_detectyes",-0.0919214396780755,0.162790250716995,-0.564661822641196,227.552143259026,0.572860004479148,0.745678106389058
"PWY_012","fixed",NA,"(Intercept)",-3.77042141649827,0.044044335682724,-85.605137597232,123.997243121562,3.71680139104122e-112,1.04339123387061e-111
"PWY_012","fixed",NA,"st131_detectyes",0.0201782611488659,0.0649628715371727,0.310612210812135,182.327541684038,0.756450235164466,0.873620345939631
"PWY_013","fixed",NA,"(Intercept)",-3.51929502930527,0.0172064208251812,-204.533822871219,109.313674537665,4.46162560348496e-143,2.84810620715615e-142
"PWY_013","fixed",NA,"st131_detectyes",-0.0425956570534045,0.038043825543692,-1.1196470503337,245.687151730227,0.263957574018519,0.421969912496157
"PWY_014","fixed",NA,"(Intercept)",-3.5531687262001,0.0205039265244786,-173.292111730802,97.3930603301036,4.28221694214266e-123,1.60282176308312e-122
"PWY_014","fixed",NA,"st131_detectyes",-0.0468544469964216,0.0437278481171354,-1.0715013204151,235.234643588961,0.285042166604935,0.448224886806121
"PWY_015","fixed",NA,"(Intercept)",-3.30475857589837,0.0081661547904211,-404.689680848917,125.866954272643,6.83144856177543e-198,6.3669100595747e-196
"PWY_015","fixed",NA,"st131_detectyes",0.00357144960704474,0.0181144941844635,0.197159775518762,247.806036333331,0.843864122043077,0.912391370932886
"PWY_016","fixed",NA,"(Intercept)",-3.44786796035517,0.0152797180606053,-225.649972511246,125.102322853475,3.56833476772509e-165,4.37590526778919e-164
"PWY_016","fixed",NA,"st131_detectyes",-0.0525139813812508,0.0295996566740195,-1.77414157061301,222.95406642573,0.0774045076734186,0.144861448095635
