"Species","effect","group","term","estimate","std.error","statistic","df","p.value","padj"
"s__Alistipes_shahii","fixed",NA,"(Intercept)",-4.30608108796576,0.248266142612844,-17.3446167191667,68.4286721786576,9.49629226396426e-27,2.02241855724017e-26
"s__Alistipes_shahii","fixed",NA,"hd_exposurehigh_exposure",-0.332465281247087,0.350336919550164,-0.948987282510719,67.8631394043001,0.345994404339207,0.525305373011351
"s__Alistipes_sp_AF17_16","fixed",NA,"(Intercept)",-4.72234313775294,0.0889730653692827,-53.0760980095814,68.4338140935458,2.43767143163213e-57,1.14368945363793e-56
"s__Alistipes_sp_AF17_16","fixed",NA,"hd_exposurehigh_exposure",0.00226540239834405,0.125464230577146,0.0180561614088973,67.6982371438566,0.985647160987175,0.98961195246339
"s__Alistipes_sp_D31t1_170403_E11","fixed",NA,"(Intercept)",-4.26831607655601,0.0722913161652073,-59.0432752227339,72.5005137259016,4.76037555872936e-63,3.06234468932693e-62
"s__Alistipes_sp_D31t1_170403_E11","fixed",NA,"hd_exposurehigh_exposure",0.0303114527675872,0.101917842302706,0.29741066022139,71.6988036957803,0.767013016318699,0.878002281855631
"s__Allisonella_histaminiformans","fixed",NA,"(Intercept)",-4.86707623604379,0.145542619752516,-33.4409002965583,69.6285675689072,1.26039819022756e-44,3.79946121112078e-44
"s__Allisonella_histaminiformans","fixed",NA,"hd_exposurehigh_exposure",0.12274958092321,0.204689670594226,0.599686249759749,68.3163436554151,0.550699214233416,0.729588767901596
"s__Anaerobutyricum_hallii","fixed",NA,"(Intercept)",-4.80294718158981,0.193864959975961,-24.7747049398992,69.4501695241383,3.33949354227977e-36,8.25284740745576e-36
"s__Anaerobutyricum_hallii","fixed",NA,"hd_exposurehigh_exposure",0.389238336359676,0.272205587364093,1.42994249357212,67.855576203811,0.157321972223124,0.276143208627932
"s__Anaerobutyricum_soehngenii","fixed",NA,"(Intercept)",-5.5157876401706,0.210095472117152,-26.253719723645,65.4158655680472,1.87587748745625e-36,4.66353606443307e-36
"s__Anaerobutyricum_soehngenii","fixed",NA,"hd_exposurehigh_exposure",-0.0335516239699845,0.295382835026776,-0.113586911598784,64.074218047254,0.909920419026018,0.954760954236294
"s__Anaerococcus_SGB53821","fixed",NA,"(Intercept)",-5.43179831936239,0.0859339926374061,-63.2089601874031,67.6157758900689,7.10331011616565e-62,4.36696109604666e-61
"s__Anaerococcus_SGB53821","fixed",NA,"hd_exposurehigh_exposure",0.302055089264876,0.120472930357895,2.50724447697542,65.8291142079184,0.0146433435480871,0.0291465594067188
"s__Anaerofilum_sp_BX8","fixed",NA,"(Intercept)",-6.54048300938748,0.0297153870502015,-220.104250984108,24.0738414176767,2.73935445667653e-41,7.59714302651624e-41
"s__Anaerofilum_sp_BX8","fixed",NA,"hd_exposurehigh_exposure",-0.0199477741038437,0.041492680232979,-0.48075405087929,26.2440438297878,0.634674969700656,0.792074362186418
"s__Anaeromassilibacillus_sp_An250","fixed",NA,"(Intercept)",-5.67735614601793,0.157067421061052,-36.1459818189232,72.7096434060718,3.2950977077604e-48,1.07651359667146e-47
"s__Anaeromassilibacillus_sp_An250","fixed",NA,"hd_exposurehigh_exposure",0.0365632712447082,0.219683629097462,0.166436030736214,70.7211933378858,0.86828875435739,0.931749239413605
"s__Anaerosacchariphilus_sp_NSJ_68","fixed",NA,"(Intercept)",-6.28567288908352,0.159381282839358,-39.4379614538485,71.0690597420567,4.70911603494234e-50,1.6279714159579e-49
"s__Anaerosacchariphilus_sp_NSJ_68","fixed",NA,"hd_exposurehigh_exposure",0.347906539412851,0.224467552679135,1.54991906518519,70.03790608022,0.1256681597964,0.227956196839982
"s__Anaerostipes_caccae","fixed",NA,"(Intercept)",-6.05703544197012,0.159845124357946,-37.8931510504282,74.8692485477524,1.33640378986163e-50,4.73815889132758e-50
"s__Anaerostipes_caccae","fixed",NA,"hd_exposurehigh_exposure",0.0691957502413727,0.22429944206468,0.308497201796067,73.1475485550788,0.758580900531396,0.871739377406246
"s__Anaerostipes_hadrus","fixed",NA,"(Intercept)",-3.66408680313368,0.204879740379188,-17.8840855438037,69.9270672283065,8.53662290455071e-28,1.84320162368154e-27
"s__Anaerostipes_hadrus","fixed",NA,"hd_exposurehigh_exposure",-0.194349107133158,0.287840645597297,-0.67519688447705,68.4246182065817,0.501826039043629,0.69125706040447
"s__Anaerotignum_faecicola","fixed",NA,"(Intercept)",-4.78021913726995,0.223413657033083,-21.3962709386298,68.691059940876,4.29569589083028e-32,9.69444569937829e-32
"s__Anaerotignum_faecicola","fixed",NA,"hd_exposurehigh_exposure",-0.172090597858033,0.314331815539372,-0.547480685538425,67.4619949056553,0.585855309365377,0.760819381985422
"s__Anaerotignum_lactatifermentans","fixed",NA,"(Intercept)",-5.21234244053297,0.143399301312839,-36.3484507442735,73.1204699098347,1.48172695217154e-48,4.90502715201613e-48
"s__Anaerotignum_lactatifermentans","fixed",NA,"hd_exposurehigh_exposure",0.288690141483031,0.201499507982846,1.43270891513843,71.6280477826253,0.156291160608722,0.275107712890952
"s__Anaerotruncus_colihominis","fixed",NA,"(Intercept)",-5.10961454205238,0.189131790850255,-27.0161590448743,70.7222662306923,5.36492226006039e-39,1.40365261646863e-38
"s__Anaerotruncus_colihominis","fixed",NA,"hd_exposurehigh_exposure",-0.0122974014437456,0.265071095181308,-0.0463928420235113,68.8773235343685,0.96313139240807,0.981338610167485
"s__Anaerotruncus_rubiinfantis","fixed",NA,"(Intercept)",-5.61542473980555,0.0728807096770904,-77.049534296326,65.6541451480636,4.15236761375503e-66,3.32189409100402e-65
"s__Anaerotruncus_rubiinfantis","fixed",NA,"hd_exposurehigh_exposure",-0.0581129225430574,0.102155147974556,-0.568869251283664,63.8680866261455,0.571439953526278,0.751451412903262
"s__Angelakisella_massiliensis","fixed",NA,"(Intercept)",-6.36955661125532,0.117179364878016,-54.3573232188621,69.2518189592962,1.56129715835954e-58,7.95305654543963e-58
"s__Angelakisella_massiliensis","fixed",NA,"hd_exposurehigh_exposure",-0.160300462364448,0.164692903314589,-0.973329506847352,67.8221596872983,0.333848314599675,0.512534563497566
"s__Bacteroides_bouchesdurhonensis","fixed",NA,"(Intercept)",-5.13488935416825,0.0699677858622172,-73.3893361193398,60.868913616936,4.07231158435325e-61,2.38603044942387e-60
"s__Bacteroides_bouchesdurhonensis","fixed",NA,"hd_exposurehigh_exposure",-0.195484662978376,0.0986485936724603,-1.981626455086,60.1311728562199,0.0520981484552701,0.10018257206807
"s__Bacteroides_caccae","fixed",NA,"(Intercept)",-3.75973364250997,0.307159393437997,-12.2403342460985,69.603163053427,5.06776057680231e-19,1.03342568624988e-18
"s__Bacteroides_caccae","fixed",NA,"hd_exposurehigh_exposure",0.0868633754774654,0.432360462522751,0.200904992493144,68.4640942756817,0.841368521956003,0.917856569406549
"s__Bacteroides_cellulosilyticus","fixed",NA,"(Intercept)",-5.51125728187126,0.224160283066463,-24.5862344857817,69.0908237741746,6.90665411698906e-36,1.70345935533643e-35
"s__Bacteroides_cellulosilyticus","fixed",NA,"hd_exposurehigh_exposure",0.15701719785303,0.315478373665655,0.497711446995848,67.9207331827616,0.620295046996393,0.780371188156753
"s__Bacteroides_clarus","fixed",NA,"(Intercept)",-5.21197191642218,0.294472946328655,-17.6993234230937,68.6676354838245,2.73457947827241e-27,5.87393319945606e-27
"s__Bacteroides_clarus","fixed",NA,"hd_exposurehigh_exposure",-0.176283284687518,0.415279047198237,-0.424493568545894,67.9493106235141,0.672546959664962,0.813312602385536
"s__Bacteroides_cutis","fixed",NA,"(Intercept)",-5.43571190759736,0.0766701212168183,-70.8973955085516,73.8796079571603,1.08218451645496e-69,1.23905162984935e-68
"s__Bacteroides_cutis","fixed",NA,"hd_exposurehigh_exposure",0.0101125562592136,0.107413528490241,0.0941460205371842,71.974956534585,0.925254762490676,0.96306750924801
"s__Bacteroides_eggerthii","fixed",NA,"(Intercept)",-4.26793707943917,0.271223993612605,-15.7358389373735,67.5186084118239,2.81083989296102e-24,5.84654697735892e-24
"s__Bacteroides_eggerthii","fixed",NA,"hd_exposurehigh_exposure",-0.457140380356273,0.381999340777758,-1.19670463154603,66.513377869027,0.23566985113832,0.391632455686582
"s__Bacteroides_faecis","fixed",NA,"(Intercept)",-6.32563934923679,0.218742436914583,-28.9182082748164,67.8433444956122,7.06161845334462e-40,1.89118022098156e-39
