"CARD","effect","group","term","estimate","std.error","statistic","df","p.value","padj"
"CARD_126","fixed",NA,"(Intercept)",-2.63557689449206,0.0414245568841506,-63.6235386141318,131.851038067471,7.74360290216353e-101,4.09492221266953e-100
"CARD_126","fixed",NA,"st131_detectyes",0.0454822126446379,0.091699710341328,0.495990799483906,247.999142904806,0.620340174069729,0.75900444827355
"CARD_127","fixed",NA,"(Intercept)",-2.68774972082353,0.0390228197530859,-68.8763584443686,134.699277732096,7.05927747276118e-107,4.58853035729477e-106
"CARD_127","fixed",NA,"st131_detectyes",0.0561347226116289,0.0834640810158948,0.672561441141833,243.365659479104,0.501864407790585,0.66877891624232
"CARD_128","fixed",NA,"(Intercept)",-3.1915652685907,0.06495487895831,-49.1351122467512,130.252989286308,6.1456748673106e-86,1.93681874606152e-85
"CARD_128","fixed",NA,"st131_detectyes",0.0431692927785261,0.14825469111463,0.291183317397678,251.296545340749,0.771151314643295,0.859282893459672
"CARD_129","fixed",NA,"(Intercept)",-3.0014324541802,0.0766823653575507,-39.1411042184898,127.917427807707,4.65854632967913e-73,1.08467645885066e-72
"CARD_129","fixed",NA,"st131_detectyes",-0.232818373434602,0.152737684245767,-1.52430210386049,229.286424138767,0.12881134162443,0.218419231450121
"CARD_130","fixed",NA,"(Intercept)",-3.30340680607203,0.0781462623478988,-42.2721024246254,129.714321856505,1.01309859503118e-77,2.59087509548959e-77
"CARD_130","fixed",NA,"st131_detectyes",-0.121331854231559,0.17462094705617,-0.694829894563164,249.039100936375,0.487809656852962,0.658859796268936
"CARD_131","fixed",NA,"(Intercept)",-3.05674525873512,0.062831494037508,-48.6498897656381,131.138914832402,8.60115154835917e-86,2.6569893891961e-85
"CARD_131","fixed",NA,"st131_detectyes",-0.0978864086329885,0.129230628081067,-0.757455179832324,236.116462254286,0.449532450549481,0.620593471555036
"CARD_132","fixed",NA,"(Intercept)",-2.88480230834826,0.0543585972791191,-53.0698445645212,131.654153630756,9.50364699631016e-91,3.44783472424275e-90
"CARD_132","fixed",NA,"st131_detectyes",0.055816376403352,0.118515102227815,0.470964251425604,245.868687915737,0.638083839532873,0.771460798651111
"CARD_133","fixed",NA,"(Intercept)",-2.54235829661652,0.0437264099098726,-58.1423972801961,134.54084827007,3.29167753401888e-97,1.44648364875196e-96
"CARD_133","fixed",NA,"st131_detectyes",-0.0321143121278156,0.0913860190302051,-0.351413842824263,239.629338067071,0.72558668776583,0.829241928875234
"CARD_134","fixed",NA,"(Intercept)",-3.22110516714398,0.0708728590303356,-45.4490648636773,130.633001912002,6.34448077085923e-82,1.76739107188221e-81
"CARD_134","fixed",NA,"st131_detectyes",0.118620699196117,0.139052994188891,0.853061092916712,227.471338830774,0.394522772798652,0.554464437446754
"CARD_135","fixed",NA,"(Intercept)",-2.6425802463381,0.0404322082094902,-65.3582963524075,137.185226557086,2.9422039165554e-105,1.76532234993324e-104
"CARD_135","fixed",NA,"st131_detectyes",0.0391078872088719,0.0873168039894709,0.447885005200004,245.130771929554,0.654631761747657,0.782548312893751
"CARD_136","fixed",NA,"(Intercept)",-2.8910148283848,0.0629007388416404,-45.9615400649467,127.949115311471,2.09493347580495e-81,5.683645603923e-81
"CARD_136","fixed",NA,"st131_detectyes",-0.0693831856517485,0.126294298159739,-0.54937702384625,230.798952390271,0.5832778938796,0.730854228475644
"CARD_137","fixed",NA,"(Intercept)",-2.9656274379088,0.0622804475823965,-47.6173109383213,131.289868577208,1.06390874760411e-84,3.16132885002366e-84
"CARD_137","fixed",NA,"st131_detectyes",0.00554359735391483,0.132435462920212,0.0418588588862688,241.897897224077,0.966645742904377,0.981210898433026
"CARD_138","fixed",NA,"(Intercept)",-3.06760982466554,0.0756380516313648,-40.5564363240882,129.401453653262,1.95918436139427e-75,4.77551188089854e-75
"CARD_138","fixed",NA,"st131_detectyes",-0.0249182434805027,0.156332995906973,-0.159392093370554,236.565123466134,0.873495968274097,0.936680624970446
"CARD_139","fixed",NA,"(Intercept)",-2.60249884247011,0.0481947395024532,-53.9996453832401,129.370908857746,1.31546315005179e-90,4.71752302087539e-90
"CARD_139","fixed",NA,"st131_detectyes",0.0429196297356218,0.108307997095134,0.396273875306943,249.694783516117,0.692241424047869,0.805893001130355
"CARD_140","fixed",NA,"(Intercept)",-3.33938450549091,0.0505946053359632,-66.0027780297209,131.738479398232,8.18231537201143e-103,4.72755999271772e-102
"CARD_140","fixed",NA,"st131_detectyes",0.022241978536014,0.107607360705562,0.206695698046838,242.005319719969,0.836421315750412,0.912459617182268
"CARD_143","fixed",NA,"(Intercept)",-2.76605012233438,0.0719073254373707,-38.4668753219522,127.558705436234,4.83775628005722e-72,1.10173719662617e-71
"CARD_143","fixed",NA,"st131_detectyes",-0.183805588707709,0.153371618954495,-1.19843286496339,241.782202881238,0.231921901280499,0.365452692926846
"CARD_167","fixed",NA,"(Intercept)",-3.86208988273866,0.044061803369259,-87.6516526201275,150.448757733704,4.897471189293e-131,6.94550459572461e-130
"CARD_167","fixed",NA,"st131_detectyes",0.417949949275822,0.0922100880053773,4.53258378032834,242.698724721385,9.15246965378182e-06,1.80732312150628e-05
"CARD_176","fixed",NA,"(Intercept)",-2.35226564843652,0.086465943735471,-27.2045333320238,126.376661528563,1.13031094538834e-54,2.33547692027261e-54
"CARD_176","fixed",NA,"st131_detectyes",-0.0447888015171678,0.151411643742105,-0.295808171751014,206.007508446133,0.76767453866265,0.85847475291307
"CARD_181","fixed",NA,"(Intercept)",-4.00133550672043,0.0770348951390818,-51.9418569921626,127.328294728883,1.43812319086525e-87,4.82467134999955e-87
"CARD_181","fixed",NA,"st131_detectyes",0.000856884586584411,0.119351576672198,0.00717949951292107,190.220811160642,0.994279161244427,0.997476200348107
"CARD_186","fixed",NA,"(Intercept)",-3.98869532780244,0.0503068473708017,-79.2873244153538,144.341486734664,6.69575982298191e-121,6.33053655991017e-120
"CARD_186","fixed",NA,"st131_detectyes",-0.0650472370680183,0.115015669789072,-0.565551086971965,251.752485848391,0.572202676008293,0.729818885008572
"CARD_203","fixed",NA,"(Intercept)",-4.19569273652097,0.0255499299488009,-164.215430137329,157.966626943824,1.9560409394088e-178,7.62855966369433e-177
"CARD_203","fixed",NA,"st131_detectyes",-0.0229454736339265,0.0554237543117844,-0.414000709963594,247.796756575702,0.679231698032694,0.804183730020815
"CARD_208","fixed",NA,"(Intercept)",-4.38130232795377,0.0370527220648657,-118.245086562972,137.226850478106,5.74124533572105e-140,1.05368737926175e-138
"CARD_208","fixed",NA,"st131_detectyes",0.0382974196417242,0.068883246827542,0.555975820036571,221.086455574577,0.578789604097105,0.729818885008572
"CARD_216","fixed",NA,"(Intercept)",-2.97675614755527,0.107040449394889,-27.8096379862302,127.774330793713,4.8041099984958e-56,9.99254879687127e-56
"CARD_216","fixed",NA,"st131_detectyes",0.129624199541324,0.193532796502298,0.669778982601458,211.950259784319,0.503727709349184,0.66877891624232
"CARD_225","fixed",NA,"(Intercept)",-4.00539683233649,0.0159568250801677,-251.014648102817,136.685234169262,5.33096836747465e-184,2.37608875807441e-182
"CARD_225","fixed",NA,"st131_detectyes",-0.0258145523071715,0.0370347824465738,-0.69703534358306,252.516113711628,0.486421877094436,0.658859796268936
"CARD_239","fixed",NA,"(Intercept)",-2.26733240252438,0.0461548025901784,-49.124517391108,132.215337631924,8.66782142955533e-87,2.8769790276822e-86
"CARD_239","fixed",NA,"st131_detectyes",0.00360924933745432,0.101908787330887,0.0354164683143119,247.690488406666,0.971776178255785,0.981210898433026
"CARD_242","fixed",NA,"(Intercept)",-4.88717521100725,0.0532836369545344,-91.7200005543419,122.778560225682,5.94992239940353e-115,4.88519944372079e-114
"CARD_242","fixed",NA,"st131_detectyes",0.115504690370837,0.114284614696052,1.01067576487028,241.965974815783,0.313181225710166,0.463092618111715
"CARD_262","fixed",NA,"(Intercept)",-4.29458617821933,0.0654946663287898,-65.5715406909636,146.664045348777,1.48270318962363e-110,1.05137135264221e-109
"CARD_262","fixed",NA,"st131_detectyes",0.569858621930134,0.135176748659671,4.21565563294352,240.12562676044,3.52871438780289e-05,6.88099305621563e-05
"CARD_269","fixed",NA,"(Intercept)",-3.05972224452854,0.0523532589901612,-58.4437779719417,125.431952653947,7.50883965346016e-93,2.92844746484946e-92
"CARD_269","fixed",NA,"st131_detectyes",-0.116356058615089,0.0990485127939063,-1.17473806857852,218.675531763883,0.241377139676013,0.374674963079184
"CARD_280","fixed",NA,"(Intercept)",-3.49489289977147,0.114207386511623,-30.6012860159073,126.801387483232,2.11658850632988e-60,4.52312064366385e-60
"CARD_280","fixed",NA,"st131_detectyes",0.0638359111365679,0.168824991960942,0.378118846001997,184.787190963998,0.705776313788326,0.812401596024725
"CARD_303","fixed",NA,"(Intercept)",-2.69866258403679,0.0726668528034677,-37.137463367727,128.984437517148,9.83448584007034e-71,2.20745293676399e-70
"CARD_303","fixed",NA,"st131_detectyes",-0.0567884838423034,0.143260687965852,-0.396399630970916,227.751215126735,0.692181382409602,0.805893001130355
"CARD_304","fixed",NA,"(Intercept)",-3.82172466832503,0.0299371725631913,-127.658170131402,132.802513578186,7.98405471514961e-141,1.55689066945417e-139
"CARD_304","fixed",NA,"st131_detectyes",0.153160300881778,0.0512436611669985,2.98886335194985,206.528146921732,0.00313975077567793,0.00604692741982417
"CARD_306","fixed",NA,"(Intercept)",-3.47394323153877,0.0731148940385705,-47.5134824062818,131.449619168914,1.19263217670263e-84,3.51038904840775e-84
"CARD_306","fixed",NA,"st131_detectyes",0.213713695665568,0.145067294076807,1.47320384670866,229.765051316444,0.142064687603133,0.234519484297235
"CARD_309","fixed",NA,"(Intercept)",-3.7049426571972,0.0605926078501867,-61.1451262562844,128.104977099367,1.17578462033935e-96,5.02527125405313e-96
"CARD_309","fixed",NA,"st131_detectyes",0.0841197043893932,0.124692833087309,0.674615391331217,235.44393977241,0.500582028610135,0.66877891624232
"CARD_310","fixed",NA,"(Intercept)",-3.90768545507812,0.0692781667232836,-56.4057283831789,130.206000292717,2.26125927891275e-93,8.93054297494654e-93
"CARD_310","fixed",NA,"st131_detectyes",0.306559166867769,0.143571713632065,2.13523373868334,237.237833081339,0.0337667746230551,0.061251358618565
"CARD_326","fixed",NA,"(Intercept)",-1.77261020526945,0.0637262841421773,-27.8159982043617,117.378013504023,1.6976878118047e-53,3.48472761370438e-53
"CARD_326","fixed",NA,"st131_detectyes",-0.284197118912643,0.119246059990938,-2.38328309492356,212.518388584495,0.0180394432871723,0.0339054596722757
"CARD_347","fixed",NA,"(Intercept)",-4.13976655221246,0.0403840101691232,-102.510041347445,136.086005731897,1.02485245082859e-130,1.39023462895009e-129
"CARD_347","fixed",NA,"st131_detectyes",0.15280707933156,0.0971054958708982,1.57361926800433,252.678503143383,0.11682674680532,0.200274423094834
"CARD_348","fixed",NA,"(Intercept)",-4.55224895191829,0.0585310103701347,-77.7749935142255,122.652592118866,3.16772193500399e-106,1.97665848744249e-105
"CARD_348","fixed",NA,"st131_detectyes",-0.0295941455461804,0.126980833251983,-0.233059941317705,243.969335456854,0.815910274809377,0.899519454913518
"CARD_358","fixed",NA,"(Intercept)",-3.03676964576435,0.0741468397492087,-40.9561574847397,130.201497333488,3.04038936130347e-76,7.65001194134421e-76
"CARD_358","fixed",NA,"st131_detectyes",-0.0472723927018058,0.155939746284579,-0.303145245699816,239.828739941095,0.762041966209501,0.85628158802961
"CARD_365","fixed",NA,"(Intercept)",-1.6638563591957,0.10574242783131,-15.7349929760458,125.397354789885,1.80836838872407e-31,3.61673677744815e-31
"CARD_365","fixed",NA,"st131_detectyes",0.0153417144007745,0.140017800303361,0.109569743043637,173.985698197849,0.912876882341121,0.9517620632537
"CARD_366","fixed",NA,"(Intercept)",-2.72913039260537,0.115556341447047,-23.617313930417,122.363515919047,2.10070039271907e-47,4.28378119299576e-47
