"PWY","effect","group","term","estimate","std.error","statistic","df","p.value","padj"
"PWY_001","fixed",NA,"(Intercept)",-6.82192603243935,0.039366042860757,-173.294685893866,148.203734133031,5.33073332672852e-173,3.24015877859412e-171
"PWY_001","fixed",NA,"hd_exposurelow_exposure",-0.0435545146310686,0.0581270347348366,-0.749298752805045,120.196627979591,0.455141117728851,0.600837849466416
"PWY_001","fixed",NA,"hd_exposurehigh_exposure",-0.0501477461332021,0.0571781970616748,-0.87704315124016,119.056999957175,0.382229499035421,0.536495605549725
"PWY_003","fixed",NA,"(Intercept)",-3.35181439418979,0.0147627496527862,-227.045399605296,124.271284963087,1.34073010368156e-164,4.46271591654006e-163
"PWY_003","fixed",NA,"hd_exposurelow_exposure",-0.00829779939544328,0.0222626718796889,-0.372722530354216,110.012571806476,0.710072088932192,0.802490525729349
"PWY_003","fixed",NA,"hd_exposurehigh_exposure",-0.00679487645578397,0.0219686103703429,-0.309299329417618,106.458493635087,0.757698385548601,0.833408609753693
"PWY_004","fixed",NA,"(Intercept)",-6.01694874724058,0.110874492512308,-54.2681063146479,132.909573461975,1.43783198605142e-92,6.70029705499964e-92
"PWY_004","fixed",NA,"hd_exposurelow_exposure",-0.0476828666871677,0.167257908543647,-0.285085871887036,118.779101831506,0.776074845498297,0.841048553493504
"PWY_004","fixed",NA,"hd_exposurehigh_exposure",-0.0574839803294981,0.165063719875836,-0.348253270753493,115.16053953493,0.728285792488456,0.813220168000678
"PWY_005","fixed",NA,"(Intercept)",-6.48593833464498,0.102725486755565,-63.138550514521,137.768137049456,1.42064746095186e-103,8.3448115563475e-103
"PWY_005","fixed",NA,"hd_exposurelow_exposure",-0.0789712936168781,0.154232083382624,-0.51202896235904,120.765531460863,0.609565830858722,0.724636931582052
"PWY_005","fixed",NA,"hd_exposurehigh_exposure",0.125689802187557,0.152032091773993,0.826732045326352,117.389948271659,0.410066227585406,0.559073539421489
"PWY_007","fixed",NA,"(Intercept)",-6.0679876651557,0.112041794403546,-54.1582513691307,127.648432189821,6.18886383029783e-90,2.69533695786803e-89
"PWY_007","fixed",NA,"hd_exposurelow_exposure",-0.19604218682793,0.168868335446857,-1.16091738755621,113.014744496739,0.248121776440018,0.423665020904402
"PWY_007","fixed",NA,"hd_exposurehigh_exposure",0.00347843627242911,0.166612963829406,0.0208773446704343,109.458872931544,0.983381508936673,0.987620222337262
"PWY_008","fixed",NA,"(Intercept)",-3.67714366630031,0.0365932163166055,-100.487031106683,114.534024651584,1.55858426414591e-113,1.28170635369175e-112
"PWY_008","fixed",NA,"hd_exposurelow_exposure",-0.0543816914202714,0.0559463856948287,-0.972032254539332,108.031180447469,0.333205892166371,0.497909483737825
