"PWY","effect","group","term","estimate","std.error","statistic","df","p.value","padj"
"PWY_025","fixed",NA,"(Intercept)",-3.88330024571143,0.0652027777654939,-59.5572823550245,36.2197702581278,9.68836021171979e-38,3.99537686607205e-37
"PWY_025","fixed",NA,"carrierper",0.259396744174516,0.136676054679905,1.89789458571966,37.209377494046,0.0654886786710345,0.119209860393368
"PWY_026","fixed",NA,"(Intercept)",-3.35979344661799,0.020203877230065,-166.294489337836,36.1242729698122,1.04627506944984e-53,3.04285972588817e-52
"PWY_026","fixed",NA,"carrierper",0.0245047099453274,0.0427451226174711,0.573274994778273,38.4349962585846,0.569797747246427,0.657871482476917
"PWY_027","fixed",NA,"(Intercept)",-3.35634093237148,0.0183489128723992,-182.917699577731,33.3029351747023,1.38758880539079e-51,2.0858593010068e-50
"PWY_027","fixed",NA,"carrierper",0.0110893830240273,0.0389345659659943,0.284821025967333,35.9496345867373,0.777415664609772,0.830907568137967
"PWY_028","fixed",NA,"(Intercept)",-3.91930998923691,0.0427305452859981,-91.7215065477104,33.6628571476933,5.60419064095661e-42,3.22413930701948e-41
"PWY_028","fixed",NA,"carrierper",-0.0432597395369046,0.0902767066692745,-0.479190492575068,35.7002154478775,0.634725470329951,0.711870202584253
"PWY_029","fixed",NA,"(Intercept)",-3.82485853919148,0.0253370815670184,-150.95892275811,36.4209844895393,1.52329169477724e-52,2.83941571906478e-51
"PWY_029","fixed",NA,"carrierper",0.0150024287775106,0.0535021298354391,0.280408066438753,38.4579269096764,0.780667379094927,0.832565184140324
"PWY_030","fixed",NA,"(Intercept)",-3.33137493939539,0.0149286806410004,-223.15266965026,31.8246245702318,2.05079323024197e-52,3.67565248189522e-51
"PWY_030","fixed",NA,"carrierper",0.0320838446341536,0.0319243418303149,1.00499627540284,35.5525245643777,0.32169009398125,0.451701545156984
"PWY_031","fixed",NA,"(Intercept)",-6.29314280717132,0.0628884802751794,-100.068291992978,34.9229958803134,1.54982077013092e-44,1.08603981786618e-43
"PWY_031","fixed",NA,"carrierper",-0.138046958157835,0.133678385758454,-1.03267972136704,37.8918692661821,0.308300207867193,0.4386806011179
"PWY_032","fixed",NA,"(Intercept)",-4.25516303625435,0.0711861058163872,-59.7751905017791,36.3832393135702,6.31372423554635e-38,2.62696026228982e-37
"PWY_032","fixed",NA,"carrierper",0.215293734285713,0.149716491766505,1.43800947875189,37.8453069685636,0.158649659365302,0.263098723360252
"PWY_033","fixed",NA,"(Intercept)",-6.12433503486175,0.158197761573297,-38.7131586057506,35.5094255990965,1.2300361477678e-30,2.71657272445401e-30
"PWY_033","fixed",NA,"carrierper",0.405753885299309,0.333081664752951,1.21818138984101,37.1100256099556,0.230843523265541,0.354605546842274
"PWY_034","fixed",NA,"(Intercept)",-6.82254833001093,0.0766861638518173,-88.9671354951895,36.1405900609222,6.19797303950913e-44,4.09681622185993e-43
"PWY_034","fixed",NA,"carrierper",-0.203145093982278,0.163531502392035,-1.24223829054831,39.6483938893357,0.221446351804954,0.343979999803695
"PWY_035","fixed",NA,"(Intercept)",-5.13833131325399,0.151446058356406,-33.9284585483346,35.3999052367393,1.35894839430251e-28,2.76537096831865e-28
"PWY_035","fixed",NA,"carrierper",0.260655197957794,0.319029419835032,0.817025583698762,37.0704932421554,0.419133806425695,0.53949459922275
"PWY_036","fixed",NA,"(Intercept)",-6.82314252461987,0.040588767401579,-168.104206198546,42.8739139650199,4.36014676017673e-62,3.69423343680428e-60
"PWY_036","fixed",NA,"carrierper",0.143389721325377,0.085998843513643,1.66734476263776,45.5509009999142,0.102307793442063,0.179568481145014
"PWY_037","fixed",NA,"(Intercept)",-3.14237521168538,0.0265335227140586,-118.430381278412,37.8165887833558,3.22591093412628e-50,4.00873198747426e-49
"PWY_037","fixed",NA,"carrierper",-0.0253869489323971,0.0559271706322119,-0.45392871917921,39.6198635724672,0.652357034196506,0.723805661751362
