"Species","effect","group","term","estimate","std.error","statistic","df","p.value","padj"
"s__Anaerofilum_sp_BX8","fixed",NA,"(Intercept)",-6.45827530132482,0.0352084815133729,-183.429532423085,131.1879570108,5.16803665413049e-160,1.46584312371701e-158
"s__Anaerofilum_sp_BX8","fixed",NA,"st131_detectyes",-0.125635396000603,0.0773550817595236,-1.62413888193111,246.923662238971,0.105621978217735,0.191872239906454
"s__Anaeromassilibacillus_sp_An250","fixed",NA,"(Intercept)",-5.51722382969287,0.0936127585597765,-58.9366654137197,129.571961374423,1.95430679852533e-95,5.69853944990564e-95
"s__Anaeromassilibacillus_sp_An250","fixed",NA,"st131_detectyes",-0.231515197812835,0.179437004951577,-1.29023106396204,222.879497179587,0.198307426703717,0.331752906871634
"s__Anaerosacchariphilus_sp_NSJ_68","fixed",NA,"(Intercept)",-6.23613180147619,0.077949091706995,-80.0026230570763,130.672287820879,7.14738856150391e-113,2.77879779587442e-112
"s__Anaerosacchariphilus_sp_NSJ_68","fixed",NA,"st131_detectyes",0.00414035771312834,0.107217298059361,0.0386165086051323,181.375183482358,0.969238611566103,0.987376426275901
"s__Anaerostipes_caccae","fixed",NA,"(Intercept)",-6.06207591294807,0.0806662448378925,-75.150094381243,137.386625667371,1.79937653898254e-113,7.10639848307028e-113
"s__Anaerostipes_caccae","fixed",NA,"st131_detectyes",-0.0582143268151399,0.136474316349144,-0.426558845447588,207.699061207982,0.670142461169625,0.801857901763846
"s__Anaerostipes_hadrus","fixed",NA,"(Intercept)",-3.76591011554634,0.115267455588618,-32.6710613704066,124.56766647197,6.09968141952184e-63,1.32389607157622e-62
"s__Anaerostipes_hadrus","fixed",NA,"st131_detectyes",0.039974270574497,0.177213884393984,0.225570759939022,187.251216182851,0.821781287942887,0.898058710466482
"s__Anaerotignum_faecicola","fixed",NA,"(Intercept)",-5.00802560553848,0.116296160431471,-43.0626908657877,123.488680300725,3.11465349068725e-76,7.36190825071532e-76
"s__Anaerotignum_faecicola","fixed",NA,"st131_detectyes",0.197301111309765,0.168087440416425,1.17380043875357,179.895737678501,0.242026617958225,0.390244469265976
"s__Anaerotignum_lactatifermentans","fixed",NA,"(Intercept)",-5.08258704838811,0.0801013545883274,-63.4519487780142,125.81600652945,2.14218858650408e-97,6.44205146013756e-97
"s__Anaerotignum_lactatifermentans","fixed",NA,"st131_detectyes",-0.0729573736557202,0.120723822123938,-0.604332867963877,186.024368990045,0.546358702466035,0.696481778015947
"s__Anaerotruncus_colihominis","fixed",NA,"(Intercept)",-4.95852349981147,0.110827564352942,-44.7408866987324,126.334638010219,2.45944537055622e-79,6.01840749500817e-79
"s__Anaerotruncus_colihominis","fixed",NA,"st131_detectyes",0.028496876450131,0.196077978841414,0.14533440531422,207.607730809729,0.88458785481146,0.93794871946024
"s__Anaerotruncus_rubiinfantis","fixed",NA,"(Intercept)",-5.66848648770592,0.0392858771229783,-144.288148892835,130.249942735659,1.42498560695983e-145,2.11712147319746e-144
"s__Anaerotruncus_rubiinfantis","fixed",NA,"st131_detectyes",0.168184613420919,0.0738738385991697,2.27664646389188,219.818550728811,0.023769959449304,0.0464967231860994
"s__Angelakisella_massiliensis","fixed",NA,"(Intercept)",-6.38428518784709,0.0729553433098337,-87.5094941399109,126.348250265723,6.22789625668639e-115,2.55671530537652e-114
"s__Angelakisella_massiliensis","fixed",NA,"st131_detectyes",-0.0585666352227176,0.114512084960014,-0.511445016857113,191.004089749491,0.609630214053616,0.749574883880702
"s__Bacteroides_bouchesdurhonensis","fixed",NA,"(Intercept)",-5.25442325921619,0.0348448664362974,-150.794759647657,108.683780694413,4.62520531689916e-128,2.97538981210832e-127
"s__Bacteroides_bouchesdurhonensis","fixed",NA,"st131_detectyes",-0.0151882403898306,0.0492315244882087,-0.30850640007031,164.723739557879,0.75808683619883,0.861650611635829
"s__Bacteroides_caccae","fixed",NA,"(Intercept)",-3.77090581766497,0.17092912258673,-22.0612249135696,123.127800258366,1.33764007016969e-44,2.72773661367937e-44
"s__Bacteroides_caccae","fixed",NA,"st131_detectyes",0.42378315467794,0.20652724741999,2.05194791472789,165.790439947145,0.0417473392657409,0.0797866453348311
"s__Bacteroides_cellulosilyticus","fixed",NA,"(Intercept)",-5.39039264199147,0.122757392132099,-43.9109413157855,124.348906993923,1.4476410183435e-77,3.47433844402439e-77
"s__Bacteroides_cellulosilyticus","fixed",NA,"st131_detectyes",0.0902513020303585,0.182553067888786,0.494383923941178,183.456329867508,0.62162654085921,0.757607346672162
"s__Bacteroides_clarus","fixed",NA,"(Intercept)",-5.24225907440757,0.16167490345091,-32.4246927786123,122.503394298816,5.80527220600345e-62,1.25780897796742e-61
"s__Bacteroides_clarus","fixed",NA,"st131_detectyes",-0.0927264040589922,0.175174877329959,-0.529336200900162,159.492134127972,0.59730823386225,0.739141889568428
"s__Bacteroides_cutis","fixed",NA,"(Intercept)",-5.47154963079848,0.0364057684590322,-150.293479918043,149.106183038086,1.1179735155219e-164,4.1036204334451e-163
"s__Bacteroides_cutis","fixed",NA,"st131_detectyes",0.00983547659734524,0.0752990208308868,0.130618917600995,240.893684176361,0.89618578873772,0.941338217171838
"s__Bacteroides_eggerthii","fixed",NA,"(Intercept)",-4.53308949059997,0.150372198611718,-30.1457951167225,121.811169291845,2.52079082673299e-58,5.36851015659176e-58
"s__Bacteroides_eggerthii","fixed",NA,"st131_detectyes",0.18894593736658,0.181127553644255,1.04316507105087,164.409112131583,0.298403289740189,0.452499763785852
"s__Bacteroides_faecis","fixed",NA,"(Intercept)",-6.06540788666727,0.106874895289242,-56.752410098294,123.701212637298,1.97334714586979e-90,5.4126093143857e-90
"s__Bacteroides_faecis","fixed",NA,"st131_detectyes",-0.0381819756617212,0.120740329757579,-0.316232163175159,162.607258458461,0.752231862466081,0.859690754022205
"s__Bacteroides_finegoldii","fixed",NA,"(Intercept)",-5.00749420354075,0.162650913479188,-30.7867573346367,123.719918204545,7.63764960889059e-60,1.63495483909013e-59
