"Species","effect","group","term","estimate","std.error","statistic","df","p.value","padj"
"s__Alistipes_indistinctus","fixed",NA,"hd_exposurelow_exposure",0.0882017749198523,0.24817427530271,0.355402568667798,116.631186865794,0.722929967935651,0.854196303676627
"s__Alistipes_indistinctus","fixed",NA,"hd_exposurehigh_exposure",-0.274168717228724,0.246840571778085,-1.11071172479379,114.415574453468,0.269021189793661,0.459077180760013
"s__Alistipes_onderdonkii","fixed",NA,"(Intercept)",-3.77421000224837,0.246649978051903,-15.3018866332684,121.558723576817,4.03543603602654e-30,1.24453645130835e-29
"s__Alistipes_onderdonkii","fixed",NA,"hd_exposurelow_exposure",-0.529940301979504,0.378151816534446,-1.40139562685727,116.446204377097,0.163755438921264,0.329978667018952
"s__Alistipes_onderdonkii","fixed",NA,"hd_exposurehigh_exposure",-0.472646085670787,0.375610722533605,-1.25834023715471,113.787314695906,0.210844596376062,0.391180460273526
"s__Alistipes_provencensis","fixed",NA,"(Intercept)",-5.46417299916657,0.067518950972834,-80.9279901485001,123.282729567294,1.02518452886597e-108,1.1561117096609e-107
"s__Alistipes_provencensis","fixed",NA,"hd_exposurelow_exposure",0.0173205059274478,0.103890835711209,0.166718323217599,119.99442143583,0.867872299993355,0.935613140944237
"s__Alistipes_provencensis","fixed",NA,"hd_exposurehigh_exposure",0.301921322573307,0.103406817361976,2.91974291710796,118.028720607123,0.00419711387220066,0.0123732238878104
"s__Alistipes_putredinis","fixed",NA,"(Intercept)",-3.94793334086057,0.284117718006104,-13.8954140859872,120.968399673637,7.9954460816531e-27,2.44167619328786e-26
"s__Alistipes_putredinis","fixed",NA,"hd_exposurelow_exposure",0.11340267862802,0.436971297508567,0.259519742542808,117.458863300327,0.79568856496676,0.896766401937251
"s__Alistipes_putredinis","fixed",NA,"hd_exposurehigh_exposure",0.0788404275282693,0.434815815700354,0.181319134864682,115.398150256981,0.856435175645009,0.932120144655498
"s__Alistipes_senegalensis","fixed",NA,"(Intercept)",-5.38181322115846,0.156030427323323,-34.4920751258751,113.228419148904,6.72394960868578e-62,2.61145926710784e-61
"s__Alistipes_senegalensis","fixed",NA,"hd_exposurelow_exposure",0.0915884801070387,0.239942070540714,0.381710801697436,109.689857470639,0.703414333238378,0.845055368424926
"s__Alistipes_senegalensis","fixed",NA,"hd_exposurehigh_exposure",-0.152563100383909,0.238739506217304,-0.639035837851838,107.628207188065,0.524157299207663,0.710036217608786
"s__Alistipes_SGB2300","fixed",NA,"(Intercept)",-5.01058984441382,0.0505500648729377,-99.1213336126947,132.78225867159,2.27743173682993e-126,6.09050315906517e-125
"s__Alistipes_SGB2300","fixed",NA,"hd_exposurelow_exposure",0.103431733825958,0.0771727120679744,1.34026304187489,125.419945639118,0.182582747635394,0.355564983338827
"s__Alistipes_SGB2300","fixed",NA,"hd_exposurehigh_exposure",0.0407778322680891,0.0764920198789594,0.533099169463897,122.169300911657,0.594933376045774,0.770737217963799
"s__Alistipes_SGB2302","fixed",NA,"(Intercept)",-5.96670443996926,0.0753314852862089,-79.2059842879746,123.356484488664,1.23918426074962e-107,1.31804144097914e-106
"s__Alistipes_SGB2302","fixed",NA,"hd_exposurelow_exposure",-0.172670870013527,0.115811147894274,-1.49096933372219,119.631868617653,0.138601630717961,0.287971423644864
"s__Alistipes_SGB2302","fixed",NA,"hd_exposurehigh_exposure",-0.0195569177376681,0.115211211252656,-0.169748391020559,117.477258796936,0.865499983830745,0.935613140944237
"s__Alistipes_shahii","fixed",NA,"(Intercept)",-4.28664775390649,0.219477610921902,-19.5311391257664,117.860265421203,9.38692153455718e-39,2.9935804280564e-38
"s__Alistipes_shahii","fixed",NA,"hd_exposurelow_exposure",-0.0205832628786096,0.33872346458776,-0.060767159735037,116.058137237566,0.951649164394758,0.977377169619864
"s__Alistipes_shahii","fixed",NA,"hd_exposurehigh_exposure",-0.351685020505086,0.337797403189513,-1.04111226783997,114.855543392669,0.300010023650411,0.491354999364453
"s__Alistipes_sp_AF17_16","fixed",NA,"(Intercept)",-4.67732212934597,0.0789877909117489,-59.2157607568976,116.407083412498,9.38703092482391e-89,5.32500663371829e-88
"s__Alistipes_sp_AF17_16","fixed",NA,"hd_exposurelow_exposure",-0.0471886162205637,0.121578524570903,-0.388132825160613,113.30653083145,0.698646004802536,0.843999596434759
"s__Alistipes_sp_AF17_16","fixed",NA,"hd_exposurehigh_exposure",-0.0418235023659246,0.121037012337633,-0.345543082716366,111.433706448148,0.730337579684388,0.858805987298743
"s__Alistipes_sp_D31t1_170403_E11","fixed",NA,"(Intercept)",-4.34323922643105,0.049712267283217,-87.3675546055276,128.58586581292,2.28898536155062e-116,3.66237657848099e-115
"s__Alistipes_sp_D31t1_170403_E11","fixed",NA,"hd_exposurelow_exposure",0.0753748127098792,0.0765653391933702,0.984450842952785,125.772380389614,0.326783895915022,0.51886297977347
"s__Alistipes_sp_D31t1_170403_E11","fixed",NA,"hd_exposurehigh_exposure",0.105523456007481,0.0762541410357713,1.38383902269621,124.026351534367,0.168893113535475,0.337066000573997
"s__Allisonella_histaminiformans","fixed",NA,"(Intercept)",-4.71412791121267,0.126381037268732,-37.3009116960222,124.840354159571,1.52314157549734e-69,6.37879424906268e-69
"s__Allisonella_histaminiformans","fixed",NA,"hd_exposurelow_exposure",-0.152707779349193,0.193485981665263,-0.789244667933528,118.977614870725,0.431539001969084,0.623815453039479
"s__Allisonella_histaminiformans","fixed",NA,"hd_exposurehigh_exposure",-0.0302111432739329,0.192042364756924,-0.157314993033815,116.090331879185,0.875269889943778,0.937084689608242
"s__Anaerobutyricum_hallii","fixed",NA,"(Intercept)",-4.78945979679853,0.17278041325283,-27.7199232634668,122.890226562798,1.03396144479935e-54,3.66586330428861e-54
"s__Anaerobutyricum_hallii","fixed",NA,"hd_exposurelow_exposure",-0.0122952961751436,0.264382439100618,-0.0465057218511565,116.758430223259,0.962986624029506,0.984767715617802
"s__Anaerobutyricum_hallii","fixed",NA,"hd_exposurehigh_exposure",0.37649105929424,0.262339612545574,1.43512851772942,113.805049311969,0.15399306988376,0.315054674122839
"s__Anaerobutyricum_soehngenii","fixed",NA,"(Intercept)",-5.23774950333598,0.19502953174187,-26.8561866326396,116.622561190224,9.16046851287847e-52,3.1349903210436e-51
"s__Anaerobutyricum_soehngenii","fixed",NA,"hd_exposurelow_exposure",-0.274990726088171,0.299330822732481,-0.91868496394017,112.085867777062,0.360233119519758,0.55320459371697
"s__Anaerobutyricum_soehngenii","fixed",NA,"hd_exposurehigh_exposure",-0.310502088568131,0.29749463248286,-1.04372333032268,109.630969873433,0.298909425649865,0.490756383192468
"s__Anaerococcus_SGB53821","fixed",NA,"(Intercept)",-5.31410037156047,0.0725797299885391,-73.2174172100062,125.616963743701,6.8475219885205e-105,6.64174153497947e-104
"s__Anaerococcus_SGB53821","fixed",NA,"hd_exposurelow_exposure",-0.117697947801939,0.110486064874623,-1.06527414054885,116.697070584641,0.288951023875107,0.480387492623624
"s__Anaerococcus_SGB53821","fixed",NA,"hd_exposurehigh_exposure",0.184139324938987,0.109374392801629,1.68356888867908,113.226259010338,0.0950201929396818,0.214310603835041
"s__Anaerofilum_sp_BX8","fixed",NA,"(Intercept)",-6.35944763002638,0.0537950767851898,-118.216164193248,134.954584832554,3.78888538712354e-138,1.64948684760355e-136
"s__Anaerofilum_sp_BX8","fixed",NA,"hd_exposurelow_exposure",-0.17169969901805,0.0802575822275774,-2.13935798029874,113.899797664691,0.0345415079549575,0.0895591452793357
"s__Anaerofilum_sp_BX8","fixed",NA,"hd_exposurehigh_exposure",-0.196516330328538,0.0790232228194433,-2.48681746095764,111.170238330825,0.0143750626716009,0.0401643542108014
"s__Anaeromassilibacillus_sp_An250","fixed",NA,"(Intercept)",-5.36953223465418,0.145608858624241,-36.8764118157866,130.222042133384,8.73846494328439e-71,3.70099691715574e-70
"s__Anaeromassilibacillus_sp_An250","fixed",NA,"hd_exposurelow_exposure",-0.311480039798397,0.220676848290567,-1.41147583994978,118.802619813043,0.160717974245026,0.3249071790353
"s__Anaeromassilibacillus_sp_An250","fixed",NA,"hd_exposurehigh_exposure",-0.270718433441849,0.218093272765827,-1.24129657925088,115.144140436816,0.217019047373781,0.399468688971208
